timestamp,flags,pitch,yaw,pitch_rate,yaw_rate,origin_sysid,origin_compid,target_system,target_component,gimbal_device_id
2901767037,12,nan,nan,-0.0055796653,0.38776055,255,190,1,1,0
2901848868,12,nan,nan,-0.0055796653,0.38776055,255,190,1,1,0
2901949040,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2902015875,12,nan,nan,-0.0049597025,0.38776055,255,190,1,1,0
2902099892,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2902183672,12,nan,nan,-0.0043397397,0.38776055,255,190,1,1,0
2902266025,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2902365971,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2902449139,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2902532546,12,nan,nan,-0.006199628,0.38918373,255,190,1,1,0
2902616196,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2902699582,12,nan,nan,-0.009299442,0.38823494,255,190,1,1,0
2902782976,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2902865858,12,nan,nan,-0.0049597025,0.38776055,255,190,1,1,0
2902948876,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2903015854,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2903115229,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2903182951,12,nan,nan,-0.0055796653,0.38776055,255,190,1,1,0
2903299871,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2903364950,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2903431896,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2903516215,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2903598866,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2903680987,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2903766579,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2903884003,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2903967507,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2904067747,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
