timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
2893501645,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.017361576,0.1845627,0.016510248,-0.21271461,-0.20578736,0.054326363,0.0,0.0,0.0,-0.0107608065,-0.01041037,-0.49608168
2893600721,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.023947759,0.16092278,0.0043272967,-0.15244885,-0.15601698,-0.22678053,0.0,0.0,0.0,-0.007938554,-0.008124359,-0.51059747
2893700975,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.0319105,0.13718203,-0.008661509,-0.12058632,-0.15064833,-0.1802639,0.0,0.0,0.0,-0.0062487777,-0.007806589,-0.50818187
2893800206,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.040780358,0.115381315,-0.01949668,-0.089863785,-0.16144028,-0.21980345,0.0,0.0,0.0,-0.0046752268,-0.008399045,-0.5102825
2893903168,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.050756864,0.094045006,-0.028217316,-0.057495315,-0.1667624,-0.056812238,0.0,0.0,0.0,-0.0029418622,-0.00853273,-0.5018166
2893999592,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.060470298,0.07631766,-0.032766342,-0.02894459,-0.15077928,0.04779418,0.0,0.0,0.0,-0.0014653363,-0.0076332865,-0.49643597
2894092801,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.069863796,0.05998929,-0.03402853,-0.07066092,-0.19447993,0.18266541,0.0,0.0,0.0,-0.0035278294,-0.0097096395,-0.48956865
2894204857,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.07965352,0.041327298,-0.03110385,-0.05881143,-0.19133167,0.29988104,0.0,0.0,0.0,-0.0028994796,-0.0094329,-0.48346516
2894294975,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.08615066,0.02665665,-0.027208805,-0.034152288,-0.18783578,0.32960394,0.0,0.0,0.0,-0.0016778529,-0.009228102,-0.48189178
2894398157,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.093197584,0.011015741,-0.024727345,-0.115604855,-0.09582245,0.2893073,0.0,0.0,0.0,-0.005704679,-0.004728489,-0.4839595
2894498961,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.09964319,-0.0024362935,-0.022222042,-0.05898629,-0.17448853,0.2624654,0.0,0.0,0.0,-0.0029186504,-0.008633719,-0.48518795
2894601755,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.10686296,-0.015042388,-0.021816015,-0.07308924,-0.17645997,0.24231121,0.0,0.0,0.0,-0.0036232607,-0.008747668,-0.4861562
2894702079,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.1146454,-0.026648354,-0.023409843,-0.0022807198,-0.19481665,0.10748144,0.0,0.0,0.0,-0.00011465682,-0.009793863,-0.49300405
2894798144,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.1226585,-0.037512258,-0.0265944,0.030667245,-0.24509096,0.08228928,0.0,0.0,0.0,0.0015456008,-0.012352358,-0.49425375
2894898636,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.13135433,-0.048500903,-0.029690504,0.04692301,-0.21519125,0.069538586,0.0,0.0,0.0,0.0023681875,-0.010860624,-0.4949776
2895001986,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.14085153,-0.059165377,-0.030274391,0.042947646,-0.20858282,0.23834114,0.0,0.0,0.0,0.0021293082,-0.01034136,-0.48629385
2895102451,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.15021679,-0.06878012,-0.028574467,0.12876868,-0.261084,0.27028388,0.0,0.0,0.0,0.006362279,-0.012899791,-0.48450768
2895198611,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.1580316,-0.07696713,-0.026140928,0.0653989,-0.2705237,0.26622275,0.0,0.0,0.0,0.003231858,-0.013368637,-0.48463908
2895301732,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.16515502,-0.08332273,-0.025325537,0.09052791,-0.19897565,0.16411978,0.0,0.0,0.0,0.00452083,-0.00993655,-0.48977113
2895398288,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.17033711,-0.088335015,-0.024560452,0.06856744,-0.3183411,0.19096729,0.0,0.0,0.0,0.003415138,-0.015855614,-0.48841548
2895499501,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.17347732,-0.09297584,-0.023403168,0.12988657,-0.24231303,0.14630139,0.0,0.0,0.0,0.0064968807,-0.012120413,-0.4905338
2895598758,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.17519967,-0.09646993,-0.024459362,0.06022437,-0.29931235,0.03572072,0.0,0.0,0.0,0.0030471843,-0.015144367,-0.49618596
