timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
2883604550,2883603407,1.2956939e-07,0.00061153696,0.020383365,0.00035257224,0.007828071,0.009196602,8390807,0,0.13512638,0.16542502,0.008285761,0.012550844,0.0061987825,0.0014421415,0.0,0.01575359,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2883803795,2883802810,1.647822e-07,0.0006571667,0.021637432,0.00024090911,0.0030591118,0.0049361,8390807,0,0.13518322,0.1654946,0.006227088,0.0093264505,0.0029813293,0.00092998083,0.0,0.014536063,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2883998739,2883997670,1.7133395e-07,0.0006763199,0.023685386,0.000427856,0.0032254092,0.0058252164,8390807,0,0.13586964,0.1654754,0.001218755,0.020192547,0.0015860057,0.0007690758,0.0,0.0004353804,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2884198039,2884196979,1.4953359e-07,0.00064261974,0.021653855,0.00013000744,0.0037268074,0.0067022447,8390807,0,0.13589051,0.16548453,2.613134e-05,0.018746503,0.0036665471,0.00061623735,0.0,0.0016462457,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2884398062,2884396336,1.5288941e-07,0.000693542,0.0218584,0.00022158156,0.004447166,0.0070702587,8390807,0,0.1358834,0.165464,0.013214611,0.021536674,0.0030623921,0.0016400784,0.0,0.0052154707,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2884594532,2884592695,1.3135069e-07,0.0005878298,0.019263342,0.00023387793,0.004865088,0.006660226,8390807,0,0.1354629,0.16494502,0.0047932835,0.014542724,0.002885416,3.6724578e-05,0.0,0.015154767,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2884800751,2884799593,1.3800083e-07,0.0006285857,0.020711914,0.0003418205,0.008520795,0.010085218,8390807,0,0.13524354,0.16548097,0.0040330277,0.017331837,0.0028231607,0.0005606667,0.0,0.0007981786,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2885004416,2884998906,1.2048358e-07,0.00059008296,0.02153599,0.00037502515,0.005909255,0.007738671,8390807,0,0.13594268,0.16548808,0.031233424,0.0126390485,0.0024388193,0.00013792778,0.0,0.0064910688,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2885202350,2885201257,1.2020466e-07,0.00060152187,0.022742582,0.00031933244,0.006923544,0.008427137,8390807,0,0.1352847,0.16549437,0.0007466438,0.019758567,0.005130314,0.0017633961,0.0,0.0075728516,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2885404781,2885399161,1.0590774e-07,0.0005780565,0.022203838,0.00013069573,0.0054068803,0.0073277485,8390807,0,0.13529621,0.16549987,0.022760369,0.015658557,0.005009668,0.00531398,0.0,0.00050885376,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2885600841,2885599969,1.411252e-07,0.0006719057,0.024418253,7.307653e-05,0.003366436,0.0050504846,8390807,0,0.1359824,0.16550471,0.004027747,0.008935541,0.0080972,0.0065682856,0.0,0.010458964,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2885805196,2885803869,1.971474e-07,0.0006216511,0.022824142,0.00018912136,0.0038291344,0.005874678,8390807,0,0.13571815,0.16601071,0.003802749,0.026244208,0.009630945,0.006886747,0.0,0.014753243,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2885998090,2885997184,4.501251e-07,0.00064186606,0.02375198,0.00033620425,0.0036169428,0.005996984,8390887,0,0.13528359,0.16548586,0.051904857,0.03609899,0.013264076,0.0074316617,0.0,0.0027942325,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2886197546,2886196540,7.679099e-07,0.0006305084,0.02386195,0.00044294074,0.004775675,0.007276154,8390887,0,0.13598113,0.16549091,0.04318178,0.016312085,0.012377584,0.008455747,0.0,0.0024563083,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2886400353,2886398895,1.0753336e-06,0.00062811846,0.023674548,0.00032889133,0.0070106415,0.009046648,8390887,0,0.13599187,0.16549435,0.041699897,0.035164893,0.012565534,0.0076923664,0.0,0.0036558642,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2886607086,2886605793,1.6824595e-06,0.0007131289,0.026449954,0.0005751913,0.0131352935,0.014838875,8390887,0,0.1357408,0.16602887,0.03973206,0.029627938,0.013890029,0.0074217096,0.0,0.0063525387,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2886801045,2886799107,1.6636711e-06,0.000653698,0.023756882,0.00064276013,0.014947804,0.01779116,8390887,0,0.13599196,0.16550198,0.03490761,0.0265479,0.011274124,0.0063519613,0.0,0.0074814325,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2886999498,2886998463,2.6426153e-06,0.0007988487,0.027663935,0.00069053,0.015419652,0.018125176,8390887,0,0.13598649,0.16553257,0.041583896,0.015195325,0.006446738,0.0050043203,0.0,0.0017546056,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2887198659,2887197867,2.3828716e-06,0.00076000683,0.025530063,0.0006187695,0.015251653,0.016980147,8390887,0,0.13599795,0.16556183,0.041415963,0.039188195,0.007386829,0.0050944085,0.0,0.002915084,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
