timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
2902116510,-0.16211791,-0.16655469,0.7998945,4450,0,0.91721725,-3.1622531,-9.826617,4881,0
2902122505,-0.20477302,-0.18369311,0.82799655,5995,0,0.6399885,4.7665067,-10.075755,5001,0
2902127049,-0.012472282,-0.089935265,0.7879556,4544,0,0.41279712,-1.2925789,-10.356201,5095,0
2902138994,-0.0151595315,-0.1335518,0.8112968,7495,0,-0.46561694,2.0465746,-8.362375,6253,0
2902143490,-0.22622363,-0.24177836,0.83745265,4496,0,1.9196569,-0.8376377,-9.802028,4998,0
2902147987,-0.09123904,-0.22183034,0.850276,4497,0,1.6684136,3.6748257,-8.664719,4999,0
2902153982,-0.10330092,-0.15335461,0.8054942,5995,0,0.7836462,-3.5910175,-8.357506,5001,0
2902158479,-0.040649254,-0.081724346,0.8144002,4497,0,-2.0148356,0.51291674,-11.457849,5015,0
2902162976,0.007051212,-0.1307681,0.8088253,4497,0,-1.6291895,-0.46089074,-10.0427,4984,0
2902168972,-0.16373758,-0.17563142,0.81181294,5996,0,1.7769616,0.880812,-9.894417,5000,0
2902173468,-0.0153513085,-0.17835462,0.8190609,4496,0,1.2379459,2.4163096,-8.4249735,5001,0
2902183961,0.017641187,-0.103453755,0.80124617,5996,0,-1.3329593,1.9981931,-11.908937,4999,0
2902188458,0.0049019367,-0.15892424,0.7978226,4497,0,2.277554,-0.7430477,-6.753335,5001,0
2902192955,-0.14413504,-0.12385143,0.8406818,4497,0,-1.3901904,0.5564073,-11.111728,5000,0
2902198950,-0.018074086,-0.15352155,0.83346677,5995,0,0.632025,1.6881183,-7.535455,5625,0
2902203446,-0.13109939,-0.117457606,0.83308876,4496,0,-0.7835371,-2.1445768,-11.225381,4416,0
